"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.92","","","5.36","","","6.72","","","6.5","6.5","","","","","","4.97","","","10.77","8.6","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.653","","","","1.36","","7.196","","","10.37","","","10.452","5.729","","","",
"Africa Western and Central","AFW","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.78881450578128","","","6.6464076610722","","6.67410057973312","","","2.2692956577778","","",
"Angola","AGO","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","11.8","11.5","14.8","","","","","","","","","","","","","","","","","","21.306","","","","","4.672","7.91","14.7","","","9.963","","","","","16.417","","15.793","13.818","","",
"Albania","ALB","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4","7.8","24.8","20.9","17.3","11.6","11.4","13.8","15.8","16.4","14.9","14.2","4.329","12.9","12.4","6.201","11.8","15.678","12.521","12.136","12.732","13.265","14.81","17.756","19.905","17.247","16.141","14.442","12.63","11.585","11.468","11.309","10.398","10.421","",
"Andorra","AND","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3201135404179","7.72930655675521","7.01241721138389","6.75232893757362","","8.37815516318835","","8.53329382484144","","7.13448178313731","","","","","","","","",
"United Arab Emirates","ARE","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","1.87","","","","","","","","","","1.05","","","","","","","","","","1.72","","","","","2.18","","","","","2.5","","","","","","","","","","","1.07","1.325","1.337","1.34","3.836","2.109","1.454","1.497","1.01",
"Argentina","ARG","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","4.38","3.86","3.38","","","4.5","5.3","7","7.13","5.33","6.14","8.5","10.34","16.5","15.73","12.91","11.71","13.28","14.05","17.41","20.13","13.73","11.834","9.998","8.362","","6.475","7.757","6.647","6.24","6.064","6.105","6.469","","","7.513","8.203","9.178","10.749","7.893","6.127","5.628","1.584",
