country_code,name,region,sub-region
ABW,Aruba,Americas,Latin America and the Caribbean
AFG,Afghanistan,Asia,Southern Asia
AGO,Angola,Africa,Sub-Saharan Africa
AIA,Anguilla,Americas,Latin America and the Caribbean
ALA,Åland Islands,Europe,Northern Europe
ALB,Albania,Europe,Southern Europe
AND,Andorra,Europe,Southern Europe
ARE,United Arab Emirates,Asia,Western Asia
ARG,Argentina,Americas,Latin America and the Caribbean
ARM,Armenia,Asia,Western Asia
ASM,American Samoa,Oceania,Polynesia
ATF,French Southern Territories,Africa,Sub-Saharan Africa
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean
AUS,Australia,Oceania,Australia and New Zealand
AUT,Austria,Europe,Western Europe
AZE,Azerbaijan,Asia,Western Asia
BDI,Burundi,Africa,Sub-Saharan Africa
BEL,Belgium,Europe,Western Europe
BEN,Benin,Africa,Sub-Saharan Africa
BES,"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean
BFA,Burkina Faso,Africa,Sub-Saharan Africa
BGD,Bangladesh,Asia,Southern Asia
BGR,Bulgaria,Europe,Eastern Europe
BHR,Bahrain,Asia,Western Asia
BHS,Bahamas,Americas,Latin America and the Caribbean
BIH,Bosnia and Herzegovina,Europe,Southern Europe
BLM,Saint Barthélemy,Americas,Latin America and the Caribbean
BLR,Belarus,Europe,Eastern Europe
BLZ,Belize,Americas,Latin America and the Caribbean
BMU,Bermuda,Americas,Northern America
BOL,"Bolivia, Plurinational State of",Americas,Latin America and the Caribbean
BRA,Brazil,Americas,Latin America and the Caribbean
BRB,Barbados,Americas,Latin America and the Caribbean
BRN,Brunei Darussalam,Asia,South-eastern Asia
BTN,Bhutan,Asia,Southern Asia
BVT,Bouvet Island,Americas,Latin America and the Caribbean
BWA,Botswana,Africa,Sub-Saharan Africa
CAF,Central African Republic,Africa,Sub-Saharan Africa
CAN,Canada,Americas,Northern America
CCK,Cocos (Keeling) Islands,Oceania,Australia and New Zealand
CHE,Switzerland,Europe,Western Europe
CHL,Chile,Americas,Latin America and the Caribbean
CHN,China,Asia,Eastern Asia
CIV,Côte d'Ivoire,Africa,Sub-Saharan Africa
CMR,Cameroon,Africa,Sub-Saharan Africa
