country_code,year,gdp,unemployment_rate,male_unemployment_rate,female_unemployment_rate,poverty_headcount_ratio,literacy_rate,electric_power_consumption,education_expenditure_ratio,current_health_expenditure_ratio,current_health_expenditure_per_capita
ABW,1960,,,,,,,,,,
AFG,1960,,,,,,,,,,
AGO,1960,,,,,,,,,,
ALB,1960,,,,,,,,,,
AND,1960,,,,,,,,,,
ARE,1960,,,,,,,,,,
ARG,1960,15865474315.4056,,,,,,,,,
ARM,1960,,,,,,,,,,
ASM,1960,,,,,,,,,,
ATG,1960,,,,,,,,,,
AUS,1960,18607682977.2293,,,,,,,,,
AUT,1960,6624086313.14334,,,,,,,,,
AZE,1960,,,,,,,,,,
BDI,1960,195999990.0,,,,,,,,,
BEL,1960,11810619368.3874,,,,,,,,,
BEN,1960,226195578.434497,,,,,,,,,
BFA,1960,330442815.821186,,,,,,,,,
BGD,1960,4274894083.33333,,,,,,,,,
BGR,1960,,,,,,,,,,
BHR,1960,,,,,,,,,,
BHS,1960,169736027.157764,,,,,,,,,
BIH,1960,,,,,,,,,,
BLR,1960,,,,,,,,,,
BLZ,1960,28072478.0724781,,,,,,,,,
BMU,1960,72400000.0,,,,,,,,,
BOL,1960,373250000.0,,,,,,,,,
BRA,1960,17030465539.3906,,,,,,,,,
BRB,1960,80021846.9453826,,,,,,,,,
BRN,1960,,,,,,,,,,
BTN,1960,,,,,,,,,,
BWA,1960,30411413.6552828,,,,,,,,,
CAF,1960,112155598.492157,,,,,,,,,
CAN,1960,40563768946.9503,,,,,,,,,
CHE,1960,10412232620.5258,,,,,,,,,
CHL,1960,4211103676.74027,,,,,,,,,
CHN,1960,59846235024.7318,,,,,,,,,
CIV,1960,546203559.344361,,,,,,,,,
CMR,1960,614206068.497266,,,,,,,,,
COD,1960,3359404117.64706,,,,,,,,,
COG,1960,131731862.783017,,,,,,,,,
COL,1960,4031152976.63904,,,,,,,,,
COM,1960,,,,,,,,,,
CPV,1960,,,,,,,,,,
CRI,1960,507513829.994855,,,,,,,,,
CUB,1960,,,,,,,,,,
CUW,1960,,,,,,,,,,
CYM,1960,,,,,,,,,,
CYP,1960,,,,,,,,,,
CZE,1960,,,,,,,,,,
DEU,1960,84619845881.2608,,,,,,,,,
DJI,1960,,,,,,,,,,
DMA,1960,,,,,,,,,,
DNK,1960,6361166544.50349,,,,,,,,,
DOM,1960,672399700.0,,,,,,,,,
DZA,1960,2723615451.30098,,,,,,,,,
ECU,1960,2069464937.19791,,,,,,,,,
EGY,1960,4206270352.22633,,,,,,,,,
ERI,1960,,,,,,,,,,
ESP,1960,12424514013.7604,,,,,,,,,
EST,1960,,,,,,,,,,
ETH,1960,1610511693.84215,,,,,,,,,
FIN,1960,5279481824.12983,,,,,,,,,
FJI,1960,112328422.113084,,,,,,,,,
FRA,1960,61756878990.3,,,,,,,,,
FRO,1960,,,,,,,,,,
FSM,1960,,,,,,,,,,
GAB,1960,141468977.799846,,,,,,,,,
GBR,1960,73233967692.1028,,,,,,,,,
GEO,1960,,,,,,,,,,
GHA,1960,1217230094.97205,,,,,,,,,
GIB,1960,,,,,,,,,,
GIN,1960,,,,,,,,,,
GMB,1960,,,,,,,,,,
GNB,1960,,,,,,,,,,
GNQ,1960,,,,,,,,,,
GRC,1960,4274890306.82895,,,,,,,,,
GRD,1960,,,,,,,,,,
GRL,1960,,,,,,,,,,
GTM,1960,1043599900.0,,,,,,,,,
GUM,1960,,,,,,,,,,
GUY,1960,170216241.126064,,,,,,,,,
HKG,1960,1320796651.69457,,,,,,,,,
HND,1960,335650000.0,,,,,,,,,
HRV,1960,,,,,,,,,,
HTI,1960,273187200.0,,,,,,,,,
HUN,1960,,,,,,,,,,
IDN,1960,,,,,,,,,,
IMN,1960,,,,,,,,,,
IND,1960,37029883876.1839,,,,,,,,,
IRL,1960,1998550221.80554,,,,,,,,,
IRN,1960,4199134389.90099,,,,,,,,,
IRQ,1960,1537252193.09912,,,,,,,,,
ISL,1960,252169712.042125,,,,,,,,,
ISR,1960,3070585807.33625,,,,,,,,,
ITA,1960,42012422612.3955,,,,,,,,,
JAM,1960,699064380.374248,,,,,,,,,
JOR,1960,,,,,,,,,,
JPN,1960,47419238274.4619,1.7,1.6,1.7,,,,,,
KAZ,1960,,,,,,,,,,
KEN,1960,791265459.493816,,,,,,,,,
KGZ,1960,,,,,,,,,,
KHM,1960,,,,,,,,,,
KIR,1960,,,,,,,,,,
KNA,1960,12366635.7500773,,,,,,,,,
KOR,1960,3958811881.18812,,,,,,,,,
KWT,1960,,,,,,,,,,
LAO,1960,,,,,,,,,,
LBN,1960,,,,,,,,,,
LBR,1960,190495600.0,,,,,,,,,
LBY,1960,401644248.9423,,,,,,,,,
LCA,1960,,,,,,,,,,
LIE,1960,,,,,,,,,,
LKA,1960,1409873949.57983,,,,,,,,,
LSO,1960,34579986.1680055,,,,,,,,,
LTU,1960,,,,,,,,,,
LUX,1960,709941874.044355,,,,,,,,,
LVA,1960,,,,,,,,,,
MAC,1960,,,,,,,,,,
MAF,1960,,,,,,,,,,
MAR,1960,2037154741.93211,,,,,,,,,
MCO,1960,,,,,,,,,,
MDA,1960,,,,,,,,,,
