country_code,year,total_population,male_population,female_population,working_age_population_ratio,mortality_rate,life_expectancy,life_expectancy_male,life_expectancy_female,fertility_rate
ABW,1960,54922.0,26995.0,27927.0,83.0461589735044,,64.049,60.746,67.459,4.567
AFG,1960,9035043.0,4690245.0,4344798.0,81.0613894386502,251.2,32.799,32.136,33.549,7.282
AGO,1960,5231654.0,2649099.0,2582555.0,79.9383931522572,,37.933,36.248,39.739,6.708
ALB,1960,1608800.0,810328.0,798472.0,87.4824468277266,,56.413,54.005,58.877,6.383
AND,1960,9510.0,4818.0,4692.0,51.5697211155378,,72.094,69.109,75.081,2.545
ARE,1960,131334.0,81903.0,49431.0,67.0044887526863,145.4,50.651,48.027,54.635,6.499
ARG,1960,20386045.0,10210517.0,10175528.0,57.4596515380821,,64.242,61.202,67.789,3.136
ARM,1960,1863705.0,904881.0,958824.0,75.988581594573,,59.063,56.123,62.15,4.786
ASM,1960,20133.0,10506.0,9627.0,107.492528084098,,65.053,63.176,67.107,6.578
ATG,1960,55603.0,26556.0,29047.0,78.3265450113851,62.0,62.635,60.117,64.755,4.602
AUS,1960,10276477.0,5192631.0,5083846.0,63.2222379817799,20.4,70.8170731707317,67.7857142857143,74.0,3.453
AUT,1960,7047539.0,3282648.0,3764891.0,52.1229971572206,37.2,68.5856097560976,65.41,71.92,2.69
AZE,1960,3894500.0,1842740.0,2051760.0,81.8006975134221,,50.862,46.646,54.873,5.878
BDI,1960,2764258.0,1336288.0,1427970.0,93.4407048310176,,43.262,41.743,44.713,7.003
BEL,1960,9153489.0,4483448.0,4670041.0,55.4561638056652,29.6,69.7019512195122,66.78,72.77,2.54
BEN,1960,2517286.0,1192304.0,1324982.0,82.27261043188,161.4,38.775,36.824,40.694,6.282
BFA,1960,4778621.0,2430840.0,2347781.0,73.8969461732004,171.4,36.074,34.997,37.252,6.248
BGD,1960,51828660.0,26950420.0,24878240.0,81.8521844913725,178.6,43.98,44.718,43.178,6.742
BGR,1960,7867374.0,3928360.0,3939014.0,50.4537685084502,45.0,69.2475609756098,67.55,71.03,2.31
BHR,1960,165477.0,88130.0,77347.0,83.0891790219075,160.0,50.634,49.107,52.554,7.262
BHS,1960,116317.0,56791.0,59526.0,81.2440593982268,,62.454,59.434,65.382,5.093
BIH,1960,3281381.0,1551526.0,1729855.0,71.3267957203035,,58.53,56.552,60.453,3.963
BLR,1960,8198000.0,3668689.0,4529311.0,61.5252968948446,36.9,69.2546097560976,65.939,72.736,2.67
BLZ,1960,91318.0,45202.0,46116.0,96.387019075679,,57.389,55.357,59.542,6.5
BMU,1960,42208.0,21585.0,20623.0,64.0713674881443,,66.482,63.572,69.567,3.63
BOL,1960,3702323.0,1823333.0,1878990.0,84.030370812208,187.4,43.338,41.17,45.562,6.273
BRA,1960,72388126.0,36288091.0,36100035.0,87.6665360044425,126.4,53.162,51.002,55.509,6.051
BRB,1960,230893.0,110423.0,120470.0,71.6990392337666,70.3,64.149,62.275,65.451,4.706
BRN,1960,88347.0,47025.0,41322.0,91.4386010531106,59.4,58.721,58.284,58.996,7.322
BTN,1960,224084.0,115894.0,108190.0,80.7901764463843,,36.367,35.479,37.328,6.704
BWA,1960,516165.0,248218.0,267947.0,97.4519247321289,117.6,51.22,49.178,53.123,6.595
CAF,1960,1702346.0,841827.0,860519.0,81.3219762007217,158.2,39.572,38.52,40.634,5.948
CAN,1960,17909356.0,9061136.0,8848220.0,70.5602758928332,27.8,71.1331707317073,68.26,74.15,3.811
CHE,1960,5327827.0,2581188.0,2746639.0,52.1115006652239,21.7,71.3134146341463,68.65,74.11,2.44
CHL,1960,8153350.0,4094992.0,4058358.0,75.478962908663,124.0,57.216,54.84,59.776,4.697
CHN,1960,667070000.0,341011330.0,326058670.0,79.5326115914395,,33.419,32.166,34.858,4.451
CIV,1960,3673666.0,1855746.0,1817920.0,83.6639234560754,208.3,37.244,35.227,39.42,7.691
CMR,1960,5159057.0,2521567.0,2637490.0,76.8549167807064,175.8,34.667,29.445,41.698,5.725
COD,1960,15264846.0,7295596.0,7969250.0,84.8443761757232,,40.752,39.469,41.936,6.105
COG,1960,1056732.0,523419.0,533313.0,86.058955271183,95.2,47.595,46.157,49.066,6.085
COL,1960,15606209.0,7771209.0,7835000.0,98.5630139034235,95.4,56.609,54.775,58.459,6.735
